time_ms,x,y,action
9750,37.41180954897458,29.659258262890717,arc
9800,36.57979856674309,29.39692620785912,arc
9850,35.77381738259277,29.063077870366538,arc
9900,34.999999999999744,28.660254037844425,arc
9950,34.26423563648927,28.191520442889956,arc
10000,33.57212390313432,27.660444431189816,arc
10050,32.928932188134226,27.071067811865507,arc
10100,32.33955556880991,26.427876096865422,arc
10150,31.808479557109756,25.735764363510484,arc
10200,31.339745962155273,25.000000000000018,arc
10250,30.936922129633146,24.226182617407005,arc
10300,30.60307379214055,23.42020143325669,arc
10350,30.34074173710894,22.588190451025202,arc
10400,30.15192246987753,21.736481776669287,arc
10450,30.038053019082145,20.871557427476553,arc
10500,29.99999999999959,19.999999999999957,arc
10550,29.9999999999995,9.999999999999812,forward
10600,29.999999999999467,6.464466094067022,forward-B-start
10650,33.53553390593229,9.99999999999978,arc-B
10700,29.9999999999995,9.999999999999815,forward-B-end
10750,19.99999999999935,9.999999999999915,forward
10800,19.128442572522754,9.961946980917379,arc
10850,18.263518223330017,9.84807753012201,arc
10900,17.411809548974098,9.659258262890619,arc
10950,16.579798566742603,9.396926207859025,arc
11000,15.77381738259228,9.063077870366444,arc
11050,14.99999999999926,8.660254037844332,arc
11100,14.264235636488783,8.191520442889864,arc
11150,13.572123903133834,7.660444431189725,arc
11200,12.928932188133736,7.071067811865417,arc
11250,12.339555568809415,6.42787609686533,arc
11300,11.808479557109262,5.735764363510392,arc
11350,11.339745962154778,4.999999999999924,arc
11400,10.93692212963265,4.226182617406909,arc
11450,10.603073792140053,3.4202014332565924,arc
11500,10.340741737108441,2.588190451025102,arc
11550,10.151922469877032,1.7364817766691862,arc
11600,10.038053019081646,0.8715574274764516,arc
11650,9.999999999999092,-1.439959262938828e-13,arc
11700,9.99999999999899,-10.000000000000307,forward
11750,10.038053019081525,-10.871557427476905,arc
11800,10.151922469876894,-11.736481776669642,arc
11850,10.340741737108285,-12.588190451025563,arc
11900,10.60307379213988,-13.42020143325706,arc
11950,10.93692212963246,-14.226182617407384,arc
12000,11.339745962154572,-15.000000000000407,arc
12050,11.80847955710904,-15.735764363510885,arc
12100,12.33955556880918,-16.427876096865834,arc
12150,12.928932188133489,-17.071067811865934,arc
12200,13.572123903133576,-17.660444431190257,arc
12250,14.264235636488515,-18.19152044289041,arc
12300,14.999999999998984,-18.660254037844897,arc
12350,15.773817382591998,-19.063077870367025,arc
12400,16.579798566742316,-19.39692620785962,arc
12450,17.411809548973807,-19.659258262891235,arc
12500,18.263518223329722,-19.848077530122644,arc
12550,19.12844257252246,-19.96194698091803,arc
12600,19.999999999999055,-20.000000000000583,arc
12650,29.999999999999233,-20.00000000000069,forward
12700,33.535533905932034,-20.00000000000073,forward-B-start
12750,29.999999999999265,-16.464466094067888,arc-B
12800,29.999999999999222,-20.00000000000069,forward-B-end
12850,29.999999999999105,-30.000000000000867,forward
12900,30.03805301908164,-30.871557427477466,arc
12950,30.151922469877007,-31.736481776670203,arc
13000,30.3407417371084,-32.58819045102612,arc
13050,30.60307379213999,-33.42020143325762,arc
13100,30.93692212963257,-34.22618261740794,arc
13150,31.339745962154684,-35.000000000000966,arc
13200,31.808479557109152,-35.73576436351144,arc
13250,32.33955556880929,-36.42787609686639,arc
13300,32.928932188133594,-37.07106781186649,arc
13350,33.57212390313368,-37.66044443119082,arc
13400,34.26423563648862,-38.191520442890976,arc
13450,34.99999999999909,-38.66025403784546,arc
13500,35.77381738259211,-39.06307787036759,arc
13550,36.579798566742426,-39.39692620786019,arc
13600,37.41180954897392,-39.659258262891804,arc
13650,38.26351822332984,-39.84807753012321,arc
13700,39.12844257252257,-39.9619469809186,arc
13750,39.99999999999917,-40.00000000000115,arc
13800,49.99999999999936,-40.00000000000127,forward
13850,50.871557427475956,-39.96194698091874,arc
13900,51.7364817766687,-39.848077530123376,arc
13950,52.58819045102462,-39.65925826289199,arc
14000,53.420201433256125,-39.396926207860396,arc
14050,54.22618261740645,-39.06307787036781,arc
14100,54.999999999999474,-38.660254037845704,arc
14150,55.73576436350996,-38.19152044289123,arc
14200,56.42787609686491,-37.660444431191095,arc
14250,57.07106781186501,-37.07106781186678,arc
14300,57.66044443118933,-36.4278760968667,arc
14350,58.19152044288949,-35.735764363511755,arc
14400,58.66025403784398,-35.000000000001286,arc
14450,59.06307787036611,-34.22618261740827,arc
14500,59.39692620785871,-33.42020143325795,arc
14550,59.659258262890326,-32.588190451026456,arc
14600,59.848077530121735,-31.736481776670537,arc
14650,59.96194698091712,-30.8715574274778,arc
14700,59.99999999999967,-30.0000000000012,arc
14750,59.999999999999794,-20.000000000001,forward
14800,59.99999999999984,-16.46446609406819,forward-B-start
14850,56.46446609406697,-20.00000000000096,arc-B
14900,59.99999999999978,-20.000000000001005,forward-B-end
14950,69.99999999999999,-20.00000000000114,forward
15000,73.5355339059328,-20.000000000001187,forward-B-start
15050,70.00000000000004,-16.464466094068325,arc-B
15100,70.0,-20.000000000001137,forward-B-end
15150,69.99999999999986,-30.000000000001346,forward
15200,69.99999999999982,-33.53553390593416,forward-B-start
15250,73.53553390593268,-30.000000000001396,arc-B
15300,69.99999999999987,-30.000000000001343,forward-B-end
15350,59.99999999999966,-30.000000000001194,forward
15400,59.128442572523056,-30.038053019083726,arc
15450,58.263518223330315,-30.15192246987909,arc
15500,57.41180954897439,-30.340741737110477,arc
15550,56.57979856674289,-30.60307379214207,arc
15600,55.77381738259256,-30.93692212963465,arc
15650,54.99999999999953,-31.33974596215676,arc
15700,54.26423563648905,-31.808479557111227,arc
15750,53.57212390313409,-32.33955556881136,arc
15800,52.928932188133984,-32.92893218813567,arc
15850,52.33955556880966,-33.572123903135754,arc
15900,51.8084795571095,-34.264235636490696,arc
15950,51.33974596215501,-35.000000000001165,arc
16000,50.936922129632876,-35.77381738259418,arc
16050,50.60307379214027,-36.5797985667445,arc
16100,50.34074173710866,-37.411809548975995,arc
16150,50.15192246987724,-38.263518223331914,arc
16200,50.03805301908185,-39.128442572524655,arc
16250,49.99999999999929,-40.00000000000126,arc
16300,49.99999999999914,-50.00000000000148,forward
16350,50.03805301908167,-50.87155742747808,arc
16400,50.151922469877036,-51.73648177667082,arc
16450,50.340741737108424,-52.58819045102675,arc
16500,50.603073792140016,-53.42020143325825,arc
16550,50.93692212963259,-54.226182617408575,arc
16600,51.3397459621547,-55.000000000001606,arc
16650,51.808479557109166,-55.73576436351209,arc
16700,52.3395555688093,-56.427876096867045,arc
16750,52.92893218813361,-57.07106781186715,arc
16800,53.57212390313369,-57.66044443119148,arc
16850,54.264235636488635,-58.19152044289164,arc
16900,54.999999999999105,-58.66025403784613,arc
16950,55.77381738259212,-59.06307787036826,arc
17000,56.57979856674244,-59.396926207860865,arc
17050,57.411809548973935,-59.659258262892486,arc
17100,58.263518223329854,-59.8480775301239,arc
17150,59.128442572522594,-59.96194698091929,arc
17200,59.9999999999992,-60.000000000001855,arc
17250,69.99999999999943,-60.00000000000201,forward
17300,73.53553390593225,-60.00000000000207,forward-B-start
17350,69.9999999999995,-56.46446609406919,arc-B
17400,69.99999999999945,-60.000000000002004,forward-B-end
17450,69.99999999999929,-70.00000000000223,forward
17500,69.99999999999923,-73.53553390593505,forward-B-start
17550,73.5355339059321,-70.0000000000023,arc-B
17600,69.99999999999928,-70.00000000000225,forward-B-end
17650,59.99999999999905,-70.00000000000207,forward
17700,56.46446609406623,-70.00000000000202,forward-B-start
17750,59.999999999999,-73.5355339059349,arc-B
17800,59.99999999999906,-70.00000000000207,forward-B-end
17850,59.99999999999924,-60.00000000000184,forward
17900,59.96194698091671,-59.12844257252524,arc
17950,59.848077530121344,-58.2635182233325,arc
18000,59.659258262889956,-57.41180954897657,arc
18050,59.396926207858364,-56.57979856674507,arc
18100,59.06307787036579,-55.773817382594736,arc
18150,58.66025403784368,-55.000000000001705,arc
18200,58.191520442889214,-54.26423563649122,arc
18250,57.66044443118908,-53.572123903136266,arc
18300,57.07106781186477,-52.92893218813616,arc
18350,56.427876096864686,-52.339555568811825,arc
18400,55.735764363509745,-51.80847955711166,arc
18450,54.999999999999275,-51.33974596215717,arc
18500,54.22618261740626,-50.93692212963503,arc
18550,53.42020143325594,-50.603073792142425,arc
18600,52.588190451024445,-50.340741737110804,arc
18650,51.736481776668526,-50.15192246987939,arc
18700,50.871557427475786,-50.038053019083996,arc
18750,49.99999999999918,-50.000000000001435,arc
18800,39.999999999998934,-50.00000000000125,forward
18850,39.12844257252233,-50.03805301908378,arc
18900,38.263518223329584,-50.151922469879146,arc
18950,37.41180954897366,-50.340741737110534,arc
19000,36.579798566742156,-50.603073792142126,arc
19050,35.77381738259182,-50.9369221296347,arc
19100,34.99999999999879,-51.33974596215681,arc
19150,34.2642356364883,-51.808479557111276,arc
19200,33.572123903133345,-52.33955556881141,arc
19250,32.92893218813324,-52.92893218813572,arc
19300,32.339555568808905,-53.572123903135804,arc
